1181,"Omeprazole 40mg inj.","Omeprazole 40mg inj.",5000
1182,"Paracetamol 1gm infusion","Paracetamol 1gm infusion",5000
1183,"Pro. Penciling 4meg (2vial adult","Pro. Penciling 4meg (2vial adult",20000
1184,"Pro. Penclline 4 mga 9pediatric)","Pro. Penclline 4 mga 9pediatric)",10000
1185,"Plassil 10 mg.","Plassil 10 mg.",5000
1186,"Promethazine 50 mg/2ml","Promethazine 50 mg/2ml",5000
1187,"Quinine 600mg/2ml","Quinine 600mg/2ml",3000
1188,"Ranitidine 50mg/2ml","Ranitidine 50mg/2ml",5000
1189,"Spectinomycin 2gm Injec.(Togomycine)","Spectinomycin 2gm Injec.(togomycine)",10000
1190,"Steptomycine.STM 1gm.","Steptomycine.STM 1gm.",2000
1191,"Tramadole 100/2ml","Tramadole 100/2ml",5000
1192,"Vitamin B6 injec.","Vitamin B6 injec.",5000
1193,"Vitamin. K. img inj.","Vitamin. K. img inj.",5000
1194,"V.B complex","V.B complex",3000
1195,"Hepatitis B vaccine","Hepatitis B vaccine",5000
1196,"Tettanus Vaccine 0.5 ml","Tettanus Vaccine 0.5 ml",5000
1197,"5% D/W infusion","5% D/W infusion",30000
1198,"R/Lactate infusion","R/Lactate infusion",3000
1199,"50%Glucose infusion","50%Glucose infusion",3000
1200,"0.9 Normal Saline ","0.9 Normal Saline ",3000
1201,ORS,ORS,1000
1202,"Wound care ","Wound care ",5000
1203,"Artsunate 60mg injection","Artsunate 60mg injection/vials",900
1205,"Arthemeter child dose ","Arthemeter child dose ",8000
1206,"Artemether Adult dose ","Artemether Adult dose ",12000
1207,"Ceftriaxone 1gm injection ","Ceftriaxone 1gm injection ",1000
1209,"Stitching wound ","Stitching wound ",10000
1210,Lidocaine,Lidocaine,1000
1211,Enema,Enema,3000
1212,"Ear Irrigation ","Ear Irrigation ",10000
1213,"Admission per day ","Admission per day ",5000
1214,ORS,ORS,500
1215,"G.V with cotton ","G.V with cotton ",3000
1216,"Foreign  body Removal ","Foried body Removal ",5000
1217,"Nasal or ear FB removal ","Nasal or ear FB removal ",5000
1219,"Pregna- caretab. 30's.","Pregna- caretab. 30's.",0
1220,"Electrolyte test (calcium Na K ….)","Electrolyte test (calcium Na K ….)",0
1221,R/factor,R/factor,0
1222,"Widal test","Widal test",3000
1223,"Brucella test","Brucella test",3000
1224,"Blood Film(BF) test","Blood Film(BF) test",3000
1226,"ULTRASOUND ABDOMINAL AND PELVIC","ULTRASOUND ABDOMINAL AND PELVIC",10000
1227,"ULTRASOUND SCROTAL","ULTRASOUND SCROTAL",15000
1228,"H PYLORI ANTIGEN","H PYLORI ANTIGEN",5000
1229,"ALLUPRUNOL TAB","ALLUPRINOL TAB",8000
1230,HEMOGLOBIN,HEMOGLOBIN,3000
1231,"LANSOPRAZOL  30 CAPS","LANSOPRAZOLE  30 CAPS",5000
1232,"HEALTHY TAB MEN OR LADIES","HEALTHY TAB MEN OR LADIES",5000
1233,"IRON TONIC 90 ML","IRON TONIC 90ML",3000
1234,"IRON TONIC 200 ML","IRON TONIC 200ML",5000
1235,"METOCHLOPROMIDE SYRUP","METOCHLOPROMIDE SYRUP",5000
1236,"GLOVE A PAIR","GLOVE A PAIR",500
1237,ECG,ECG,15000
1238,"LOMOTIL TABLET","LOMOTIL TABLET",2000
1239,"ARTEMETHER TABLET 6 TABLET","ARTEMETHER TABLET 6 TABLET",6000
1240,"PCM SUPP250MG,125MG","PCM SUPP250MG,125MG",500
1241,"DICLO 75 MG","DICLO 75 MG",7000
1242,"BLOOD GROUP","BLOOD GROUP",3000
1243,"NECK ULTRAS SOUND","NECK ULTRAS SOUND",15000
1244,"Glimepride  tab","Glimepride  tab",9000
1245,"RENAL FUNCTION TEST","RENAL FUNCTION TEST",15000
1246,"MICROGYNON ONECYCLE","MICROGYNON ONECYCLE",5000
1247,"A,S,A 75 MG","A,S,A 75 MG",5000
1248,"A.S.A 75MG","A.S.A 75MG",5000
1249,GV,GV,3000
1250,Acyclovir,Acyclovir,8000
1251,"dewax ear drop","dewax ear drop",5000
1252,"clomefen 50mg","clomefen 50mg",6000
1253,amaril,amaril,12000
1254,"librax tab","librax tab",5000
1255,"dexa tab","dexa tab",2000
1256,"Ringer infusion","Ringer infusion",3000
